FIPStxt,year,rate_domestic_migration
13097,2020,4.2214801264
13099,2020,-8.40007814
13101,2020,-3.497376967
13103,2020,27.172710316
13105,2020,8.5141946773
13107,2020,0.972311228
13109,2020,-4.401573328
13111,2020,12.919549924
13113,2020,9.8065922092
13115,2020,3.9804135151
13117,2020,23.867260959
13119,2020,12.978893129
13121,2020,5.256216924
13123,2020,18.841232075
13125,2020,0.0
13127,2020,3.7353098369
13129,2020,3.754617574
13131,2020,-7.205456717
13133,2020,34.168122695
13135,2020,-0.06331875
13137,2020,-2.954763454
13139,2020,9.0152446309
13141,2020,18.424962853
13143,2020,7.9187235692
13145,2020,20.259040633
13147,2020,7.6134363762
13149,2020,4.7911238127
13151,2020,16.774035138
13153,2020,9.7515523986
13155,2020,3.2957686583
13157,2020,32.253562407
13159,2020,12.744265081
13161,2020,1.1935152339
13163,2020,-1.234327292
13165,2020,-10.0911645
13167,2020,-5.581683808
13169,2020,4.632935644
13171,2020,5.9414269941
13173,2020,6.7378958514
13175,2020,3.2672161211
13177,2020,5.3897527744
13179,2020,-1.655181455
13181,2020,1.7670074467
13183,2020,16.041397154
13185,2020,2.8752968359
13187,2020,22.192485228
13189,2020,-10.26981608
13191,2020,5.9930313589
13193,2020,-13.94262075
13195,2020,7.1234165519
13197,2020,-0.956251494
13199,2020,4.8271455952
13201,2020,8.5949833363
13205,2020,-13.13696077
13207,2020,6.7900001816
13209,2020,-1.526717557
13211,2020,20.941034456
13213,2020,1.8990742013
13215,2020,2.790187158
13217,2020,16.476386408
13219,2020,17.377567141
13221,2020,10.943010646
13223,2020,22.962250541
13225,2020,4.3344442623
13227,2020,19.348347651
13229,2020,2.4193755952
13231,2020,15.900449361
13233,2020,4.2608787768
13235,2020,7.1116712427
13237,2020,16.24980086
13239,2020,20.179864005
13241,2020,20.415367418
13243,2020,-3.679175865
13245,2020,-0.376065416
13247,2020,1.4994404661
13249,2020,1.3349861734
13251,2020,-1.217503402
13253,2020,-19.19315403
13255,2020,8.960168662
13257,2020,-1.617499807
13259,2020,6.8933823529
13261,2020,-11.46325017
13263,2020,-10.73287946
13265,2020,-39.37758018
13267,2020,-9.533001123
13269,2020,-0.249376559
13271,2020,-9.172582773
13273,2020,-4.439771001
13275,2020,1.9597905052
13277,2020,-0.739043677
13279,2020,-4.39216854
13281,2020,21.168890934
13283,2020,12.396091585
13285,2020,-5.385714286
13287,2020,7.4246523627
13289,2020,0.2454891371
13291,2020,30.857567746
13293,2020,9.0658032568
13295,2020,5.6176546651
13297,2020,12.375196358
13299,2020,3.7296168029
13301,2020,2.475954671
13303,2020,-1.373087485
13305,2020,3.6158494735
13307,2020,0.0
13309,2020,-5.586237542
13311,2020,27.308919817
13313,2020,-1.244751696
13315,2020,-21.07433284
13317,2020,-3.971284558
13319,2020,-7.223426127
13321,2020,-1.874275568
15000,2020,-9.742408244
15001,2020,-3.190892805
15003,2020,-12.71680974
15005,2020,0.0
15007,2020,-3.184250421
15009,2020,-3.09220698
16000,2020,15.468109603
16001,2020,22.760011827
16003,2020,13.133208255
16005,2020,6.9462752605
16007,2020,10.682882735
16009,2020,8.7491898898
16011,2020,9.920378739
16013,2020,1.965408805
16015,2020,22.471910112
16017,2020,23.373579231
16019,2020,13.868011855
16021,2020,18.548287375
16023,2020,2.700617284
16025,2020,-16.16524472
16027,2020,22.653585972
16029,2020,10.287485908
16031,2020,1.296501537
16033,2020,-16.50943396
16035,2020,2.5122758936
16037,2020,16.112084063
16039,2020,-5.576513039
16041,2020,6.5264684554
16043,2020,-11.50300907
16045,2020,29.580660523
16047,2020,-0.594157452
16049,2020,13.215460278
16051,2020,4.5549632229
16053,2020,1.6914889228
16055,2020,26.166543288
16057,2020,0.5003940603
16059,2020,15.539820791
16061,2020,1.8252933507
16063,2020,-14.49275362
16065,2020,-7.705133387
16067,2020,9.0042626563
16069,2020,4.2150153724
16071,2020,13.566106972
16073,2020,9.3648901754
16075,2020,16.267015045
16077,2020,-9.492230674
16079,2020,6.6999065129
16081,2020,31.942167864
16083,2020,4.2681904145
16085,2020,31.588810066
16087,2020,6.3026244522
17000,2020,-8.268276943
17001,2020,-1.999114896
17003,2020,-44.56871717
17005,2020,-12.46105919
17007,2020,-1.569741366
17009,2020,1.5219541892
17011,2020,-8.56877125
17013,2020,-15.46822742
17015,2020,3.5640658304
17017,2020,-20.19706448
17019,2020,-12.85488564
17021,2020,-8.4671398
17023,2020,-8.053864244
17025,2020,-4.007561437
17027,2020,-4.783481045
17029,2020,-4.139970429
17031,2020,-10.23232176
17033,2020,-7.467264048
17035,2020,-4.450625869
17037,2020,-0.248511322
17039,2020,-7.126495291
17041,2020,-3.134393546
17043,2020,-10.81955801
17045,2020,-8.51655514
17047,2020,-1.095290252
17049,2020,-8.00715658
17051,2020,-1.873360809
17053,2020,-16.35272991
17055,2020,-4.483956249
17057,2020,-10.20673702
17059,2020,-36.05793578
17061,2020,-5.83851886
17063,2020,-1.940662766
17065,2020,-0.860796852
17067,2020,-5.740657362
17069,2020,-9.852216749
17071,2020,-2.698043918
17073,2020,-1.796248291
17075,2020,-11.06267629
17077,2020,-14.81949158
17079,2020,-5.095144016
17081,2020,-1.167232598
17083,2020,-0.826294528
17085,2020,-0.375886858
17087,2020,3.0595813205
17089,2020,-5.68197288
17091,2020,-1.746923549
17093,2020,2.1581024281
17095,2020,-5.939183563
17097,2020,-9.173983362
17099,2020,-3.571625319
17101,2020,-5.461877997
17103,2020,-4.942098491
17105,2020,-2.970768756
17107,2020,-8.969233443
17109,2020,-11.53085509
17111,2020,-4.48358427
17113,2020,-12.22352418
17115,2020,-5.409734645
17117,2020,-6.249722973
17119,2020,-3.491514103
17121,2020,-4.719384335
17123,2020,-0.959818507
17125,2020,-9.51955972
17127,2020,-14.89476525
17129,2020,-6.943026343
17131,2020,-3.872466761
17133,2020,6.5787567019
17135,2020,-7.459942212
17137,2020,-11.13983896
17139,2020,-11.38975608
17141,2020,-3.391702161
17143,2020,-12.90164786
17145,2020,-9.177365668
17147,2020,-2.140018343
17149,2020,-3.209654641
17151,2020,1.6744408564
17153,2020,-15.22889776
17155,2020,2.091503268
17157,2020,-10.75689113
17159,2020,-10.06152269
17161,2020,-8.14059754
17163,2020,-8.118285142
17165,2020,-9.771573604
17167,2020,-6.517879332
17169,2020,-9.972136677
17171,2020,4.2518728488
17173,2020,-3.367158672
17175,2020,-10.96654275
17177,2020,-5.644213002
17179,2020,-4.87411685
17181,2020,-7.704942512
17183,2020,-12.29174866
17185,2020,-4.773683982
17187,2020,-12.53103204
17189,2020,-8.821630926
17191,2020,-5.531483359
17193,2020,-1.17842018
17195,2020,-5.960551983
17197,2020,-4.475024097
17199,2020,-5.375096385
17201,2020,-6.736111847
17203,2020,-2.597874938
18000,2020,0.5953357965
18001,2020,-6.697304265
18003,2020,3.9555766473
18005,2020,1.8138029201
18007,2020,8.3903223953
18009,2020,-10.80989781
18011,2020,8.1025131146
18013,2020,-6.463953565
18015,2020,0.6428483125
18017,2020,-9.367061812
18019,2020,6.1040317172
18021,2020,1.2213740458
18023,2020,2.6938737595
18025,2020,-1.133626187
18027,2020,-4.892764412
18029,2020,-0.121285628
18031,2020,-8.708054951
18033,2020,4.060773162
18035,2020,-2.039994397
18037,2020,-4.402294813
18039,2020,-4.223731545
18041,2020,1.1693880203
18043,2020,6.4468264729
18045,2020,-3.115835777
18047,2020,-0.791835298
18049,2020,-4.996627277
18051,2020,-0.356776524
18053,2020,-3.565792668
18055,2020,-1.938075366
18057,2020,14.849129611
18059,2020,18.843035061
18061,2020,5.5494308117
18063,2020,15.058463491
18065,2020,-1.248660292
18067,2020,3.1674565082
18069,2020,6.5417863475
18071,2020,-1.925276617
18073,2020,4.9606287448
18075,2020,-16.22816607
18077,2020,3.8160241992
18079,2020,0.8301151334
18081,2020,8.0697511615
18083,2020,-0.464544337
18085,2020,-4.35570774
18087,2020,-5.823595691
18089,2020,0.851605214
18091,2020,-1.155233343
18093,2020,-3.604395604
18095,2020,0.1234844217
18097,2020,-5.060100391
18099,2020,-4.30019232
18101,2020,2.9305460584
18103,2020,-4.918355302
18105,2020,-1.907590112
18107,2020,-0.391583564
18109,2020,2.9582011861
18111,2020,-1.001072578
18113,2020,0.2518706644
18115,2020,0.1701548409
