county_fips,rate_net_migration
5045,12.640383641
5047,-0.778469751
5049,-3.195542628
5051,4.2509286009
5053,4.1684035015
5055,8.0705181877
5057,-10.88508208
5059,11.853141082
5061,-12.80419046
5063,-0.054173382
5065,2.2129605724
5067,-10.12174206
5069,-19.93721503
5071,4.8072263467
5073,-8.407847324
5075,-11.01334421
5077,-7.619047619
5079,-13.11406431
5081,-0.541355709
5083,-15.16866652
5085,3.4804279637
5087,-6.782046771
5089,1.3817133245
5091,-5.879325136
5093,-14.54402516
5095,-28.33322886
5097,0.4268487888
5099,-8.930066417
5101,-22.32717905
5103,-11.81187054
5105,-2.993578292
5107,-32.60405296
5109,2.4005334519
5111,-5.702798064
5113,-6.881741422
5115,-3.527027243
5117,-11.47473801
5119,0.3194991079
5121,-6.143020691
5123,-3.750937734
5125,13.14961877
5127,-24.0391084
5129,-3.481937449
5131,0.4399385657
5133,-9.068185782
5135,-8.453824627
5137,6.8684609855
5139,-14.73323365
5141,-0.814521759
5143,8.5848973457
5145,5.1300375182
5147,-14.63140124
5149,-6.714168265
6000,1.4950156421
6001,8.4974806131
6003,15.433499773
6005,-7.930660308
6007,3.4615419513
6009,-5.468185607
6011,-9.294247424
6013,6.8035845278
6015,-10.70047499
6017,-2.976396292
6019,-4.273923811
6021,-15.53848902
6023,-6.08565128
6025,-7.327712204
6027,-3.374792477
6029,-4.003347485
6031,-16.73385965
6033,-2.511602512
6035,-19.97790055
6037,-1.102370161
6039,-10.02631909
6041,1.0011008198
6043,-15.69998058
6045,-3.939938839
6047,-4.483201452
6049,-11.55885472
6051,-13.42468612
6053,-0.004732361
6055,3.4029736197
6057,-3.759436694
6059,3.1011830747
6061,8.4260059085
6063,-15.34683855
6065,5.2584113894
6067,1.6445597172
6069,3.4287947698
6071,-2.54212342
6073,4.3761450345
6075,11.844142324
6077,0.3328677489
6079,9.8969586477
6081,8.8472902107
6083,3.5853275207
6085,6.6050998012
6087,0.180723572
6089,1.558530705
6091,-7.137064071
6093,-11.5453131
6095,3.0645346501
6097,2.9711053863
6099,-1.90369023
6101,-9.794828034
6103,-3.619323076
6105,-11.84956208
6107,-4.916553549
6109,-8.308039358
6111,-2.475332334
6113,7.340171697
6115,-5.46594797
8000,7.5121039815
