county_fips,sh050m,sh100m,sh500m
5099,0.12998796,0.5989335,0.6667608
5101,0.58852583,0.92972475,0.5416122
5103,-0.099280976,0.51623565,0.5416122
5105,0.6649488,0.51623565,0.5416122
5107,-0.7106648,0.6816313,0.5416122
5109,0.6649488,0.76432914,0.79190946
5111,1.1234866,1.0951204,1.0422066
5113,-0.099280976,-0.3107425,0.16616641
5115,-0.022858,0.51623565,0.4164636
5117,1.1234866,1.1778182,1.0422066
5119,0.20641094,-0.22804469,0.16616641
5121,0.8942177,0.6816313,0.91705805
5123,-0.022858,0.76432914,0.6667608
5125,0.51210284,0.1854444,0.5416122
5127,0.43567988,0.5989335,0.4164636
5129,0.2828339,0.76432914,0.4164636
5131,0.20641094,0.10274658,0.16616641
5133,0.3592569,0.1854444,0.5416122
5135,-0.25212693,0.020048764,0.4164636
5137,-0.099280976,0.1854444,0.4164636
5139,0.20641094,-0.14534688,0.6667608
5141,0.12998796,0.26814222,0.16616641
5143,-0.7106648,-1.1377207,-0.334428
5145,0.20641094,0.020048764,0.4164636
5147,-0.022858,0.76432914,0.79190946
5149,0.6649488,0.84702694,0.4164636
6001,-0.55781883,-0.558836,-1.585914
6003,-2.2391243,-2.791677,-2.9625487
6005,-0.25212693,-0.47613814,-0.96017104
6007,-0.7870878,-0.8896272,-0.83502245
6009,-0.32854992,-0.3107425,-0.83502245
6011,0.20641094,0.26814222,-0.20927942
6013,-0.17570396,-0.22804469,-1.2104683
6015,-0.8635108,-0.9723251,-1.2104683
6017,-0.7870878,-1.1377207,-1.0853196
6019,0.43567988,0.020048764,-0.08413081
6021,0.2828339,0.26814222,-0.08413081
6023,-1.0163567,-1.7166054,-2.211657
6025,0.43567988,0.6816313,0.29131502
6027,-1.4748946,-2.4608858,-1.2104683
6029,0.20641094,0.26814222,-0.45957664
6031,-0.48139587,-0.47613814,-1.0853196
6033,-0.25212693,-0.47613814,-0.96017104
6035,-1.2456256,-1.3858142,-0.96017104
6037,0.05356498,-0.6415338,-1.585914
6039,0.2828339,0.020048764,-0.08413081
6041,-0.7870878,-0.8896272,-2.0865085
6043,-1.5513176,-1.2204186,-1.3356168
6045,-0.55781883,-0.7242316,-1.0853196
6047,-0.25212693,0.35084003,-0.20927942
6049,-2.2391243,-1.9646989,-1.3356168
6051,-2.5448163,-3.4532597,-2.211657
6053,-0.9399338,-0.9723251,-1.2104683
6055,-0.55781883,-0.39344034,-1.2104683
6057,-1.3984716,-1.6339076,-1.4607655
6059,0.20641094,-0.39344034,-1.0853196
6061,-1.9334325,-1.2204186,-0.96017104
6063,-1.7805865,-1.5512098,-1.3356168
6065,-1.1692027,-1.1377207,-0.96017104
6067,-0.32854992,-0.22804469,-0.96017104
6069,-1.2456256,-0.06264906,-0.45957664
6071,-1.3220487,-1.5512098,-0.83502245
6073,-0.7870878,-1.2204186,-2.211657
6075,-2.0862784,-1.7166054,-2.9625487
6077,0.3592569,0.26814222,-0.5847252
6079,-1.4748946,-1.7993033,-0.96017104
6081,-0.022858,-0.47613814,-1.4607655
6083,-1.0927798,-1.4685119,-1.0853196
6085,-0.32854992,-0.39344034,-1.3356168
6087,-0.7870878,-0.8896272,-1.0853196
6089,-0.7106648,-1.2204186,-1.3356168
6091,-1.9334325,-0.9723251,-0.83502245
6093,-1.4748946,-1.4685119,-1.585914
6095,-0.099280976,-0.14534688,-1.3356168
6097,-0.55781883,-0.39344034,-1.0853196
6099,0.3592569,0.43353784,-0.334428
6101,0.05356498,-0.06264906,-0.70987386
6103,-0.022858,-0.6415338,-0.70987386
6105,-1.5513176,-1.4685119,-1.9613599
6107,-0.022858,0.1854444,0.041017797
6109,-1.0163567,-0.7242316,-0.5847252
6111,-1.0927798,-0.3107425,-1.2104683
6113,-1.0927798,-0.7242316,-0.70987386
6115,-0.7106648,-0.6415338,-1.585914
8001,-0.55781883,-0.3107425,-2.0865085
8003,-1.2456256,-1.7993033,-1.3356168
8005,-0.48139587,-0.8896272,-2.9625487
8007,-1.9334325,-2.7089791,-3.5882916
8009,-1.0927798,-1.4685119,-0.45957664
8011,-1.1692027,-0.9723251,-0.83502245
8013,-1.5513176,-1.7166054,-4.464332
8014,-0.7870878,-1.2204186,-3.463143
8015,-2.1627014,-2.2954903,-3.7134404
8017,-1.6277406,-1.7993033,-0.45957664
8019,-1.4748946,-1.5512098,-3.9637375
8021,-0.7106648,-1.3031163,-0.334428
8023,-1.7805865,-2.0473967,-1.9613599
8025,-0.7870878,-0.8896272,-1.4607655
8027,-2.2391243,-2.6262815,-3.9637375
8029,-0.55781883,-1.2204186,-1.7110627
8031,-0.9399338,-1.4685119,-3.9637375
8033,-1.3220487,-1.6339076,-2.0865085
8035,-0.9399338,-1.4685119,-3.7134404
8037,-2.1627014,-2.2954903,-4.839778
8039,-1.2456256,-1.0550228,-2.587103
8041,-1.4748946,-1.9646989,-4.3391833
8043,-1.3220487,-0.8896272,-2.211657
8045,-1.4748946,-1.7993033,-2.9625487
8047,-1.8570095,-1.882001,-4.5894804
8049,-2.3155475,-2.2127924,-4.714629
8051,-2.4683933,-3.1224682,-4.0888863
8053,-3.003354,-3.701353,-5.5906696
8055,-1.3220487,-1.5512098,-2.0865085
8057,-2.3155475,-2.2954903,-2.3368058
8059,-0.8635108,-0.8896272,-3.0876973
8061,-1.4748946,-1.3858142,-0.334428
8063,-1.5513176,-1.7993033,-0.96017104
8065,-2.0862784,-2.2954903,-3.7134404
8067,-2.0098555,-2.791677,-3.212846
8069,-1.8570095,-1.3031163,-3.212846
8071,-1.5513176,-1.6339076,-1.0853196
8073,-2.4683933,-1.3858142,-1.4607655
8075,-0.9399338,-0.8069294,-0.5847252
8077,-0.7106648,-1.5512098,-1.7110627
8079,-2.6212392,-3.205166,-4.3391833
8081,-1.3984716,-1.882001,-1.7110627
8083,-1.3220487,-1.882001,-1.8362113
8085,-0.55781883,-1.2204186,-1.8362113
8087,-0.17570396,0.020048764,-0.96017104
8089,-0.25212693,-0.558836,-0.45957664
8091,-2.2391243,-2.8743749,-4.0888863
8093,-2.5448163,-2.2127924,-4.714629
8095,-1.0163567,-1.5512098,-0.83502245
8097,-2.3919704,-2.7089791,-5.340372
8099,-1.0163567,-1.4685119,-0.334428
8101,0.20641094,-0.39344034,-1.0853196
8103,-2.0098555,-2.0473967,-1.9613599
8105,-0.8635108,-1.6339076,-0.96017104
8107,-2.3919704,-2.8743749,-4.839778
8109,-1.7041636,-2.2954903,-2.4619544
