county_fips,rate_natural_increase_population
4012,-1.653495441
4013,7.2224982777
4015,-3.481395217
4017,6.459870151
4019,3.1472171908
4021,5.4268623108
4023,8.0188579968
4025,-4.098961313
4027,8.8720899249
5000,2.9941466165
5001,1.6915554381
5003,2.4080763175
5005,-8.467893581
5007,7.2870812675
5009,2.1768634354
5011,-1.674156313
5013,-0.380191997
5015,0.0
5017,0.7758286281
5019,0.0875599238
5021,-5.635408092
5023,-4.880127038
5025,1.6200891049
5027,-0.651439274
5029,0.7097399986
5031,5.2722305668
5033,3.0717744348
5035,6.063979959
5037,0.1689569723
5039,-5.247376312
5041,1.5007306189
5043,3.3046398209
5045,6.2009429181
5047,-2.168594306
5049,-2.540046704
5051,-2.785802724
5053,0.944838127
5055,2.7211833659
5057,4.1488222698
5059,-1.500397605
5061,2.2552835473
5063,2.0856752035
5065,-4.425921145
5067,-1.686957011
5069,0.5840462458
5071,4.6133865747
5073,-3.202989457
5075,-3.379756424
5077,-3.125763126
5079,1.5428310951
5081,-1.469394068
5083,0.4980756169
5085,5.0272848365
5087,2.6232445056
5089,-4.265288958
5091,3.6831569917
5093,3.8434661076
5095,-3.384943271
5097,-7.043005015
5099,-2.232516604
5101,-2.698889775
5103,-1.603598318
5105,-2.221041958
5107,-0.284751554
5109,-1.155812403
5111,-0.410273242
5113,0.0
5115,2.6173414833
5117,-2.458872431
5119,5.6504963187
5121,-1.284449781
5123,3.6437680849
5125,3.6833412521
5127,2.6012468045
5129,-5.347261083
5131,4.1715603285
5133,7.2661745044
5135,-5.36380597
5137,-3.514096318
5139,1.1669888042
5141,-1.919944147
5143,9.0136658036
5145,2.0162834027
5147,-1.547552054
5149,0.4110715264
6000,6.8243328441
6001,6.3358294331
6003,-0.907852928
6005,-3.938537383
6007,0.7077333479
6009,-2.178382884
6011,7.4166216819
6013,4.6243842709
6015,1.4479190578
6017,0.9681586452
6019,10.270365215
6021,4.8222896946
6023,1.1192854363
6025,11.69822994
6027,1.3608034183
6029,10.546693183
6031,10.440502016
6033,-1.981201981
6035,1.0313075506
6037,7.1840817345
6039,8.7598366765
6041,1.7558369848
6043,-0.832154448
6045,3.5619795902
6047,10.546673741
6049,-5.408271474
6051,6.8166799986
6053,10.486912655
6055,2.9178688697
6057,-1.839075788
6059,6.5385642936
6061,2.6039958637
6063,-2.506650297
6065,6.9032499465
6067,6.2905972454
6069,7.799175668
6071,8.7481940886
6073,7.5890150204
6075,3.9439935884
6077,7.3187861518
6079,1.309567916
6081,5.9322634454
6083,6.5017681067
6085,7.7327997672
