county_fips,rate_domestic_migration
6073,-3.426477762
6075,-1.563543155
6077,5.4622426258
6079,4.4849434043
6081,-8.8090956
6083,-4.135041943
6085,-10.93674774
6087,-2.062423914
6089,0.739734088
6091,-10.44474394
6093,6.094886298
6095,6.1701291004
6097,0.259116413
6099,3.2019663094
6101,-3.256135355
6103,1.9587555584
6105,-14.58220816
6107,-5.665672919
6109,6.4441029939
6111,-4.814765596
6113,5.1722847843
6115,3.3155029967
8000,8.9326157492
8001,4.6772997145
8003,6.135161361
8005,2.1701915218
8007,31.810249088
8009,0.8468595625
8011,-6.142296536
8013,4.0295521347
8014,18.374321619
8015,28.630507396
8017,6.5270601033
8019,7.9582728397
8021,-3.599131244
8023,36.04347228
8025,-63.04407587
8027,40.124140989
8029,16.993312202
8031,8.6034663241
8033,37.651721575
8035,10.691371239
8037,1.1622972898
8039,16.188964991
8041,11.821375666
8043,18.336228527
8045,10.748349545
8047,16.383650482
8049,25.146296606
8051,14.515037825
8053,32.216494845
8055,37.122612446
8057,4.4264109185
8059,7.6898638653
8061,-28.6133529
8063,-78.15163184
8065,15.566790846
8067,8.1634137251
8069,11.643836635
8071,4.9082373026
8073,1.983053903
8075,-0.846193244
8077,9.8871242372
8079,13.333333333
8081,9.3547521374
8083,10.520208857
8085,14.734497571
8087,-11.90412924
8089,6.639596137
8091,37.884431201
8093,35.574862778
8095,-16.49819914
8097,-8.687178059
8099,-3.017349761
8101,9.7809506376
8103,-10.06659439
8105,-0.705187536
8107,6.2395497737
8109,19.7394394
8111,-2.898550725
8113,13.877499527
8115,14.246804944
8117,5.5778338862
8119,27.483876407
8121,12.474012474
8123,24.315126795
8125,-4.479394784
9000,-8.155736921
9001,-8.910225534
9003,-9.220126327
9005,-6.780862053
9007,-3.051838442
9009,-8.042666058
9011,-7.241110774
9013,-7.553747821
9015,-6.913482581
10000,3.5753341096
10001,2.5541461731
10003,-3.110380625
10005,21.47217351
11000,3.0222999306
11001,3.0222999306
12000,10.619089919
12001,9.4911961699
12003,14.808378139
12005,5.5597854964
12007,-0.635656596
12009,20.293710945
12011,0.0437115533
12013,-2.087973274
12015,36.66873302
12017,27.729599316
12019,18.914260884
12021,17.264368262
12023,13.906769367
12027,7.4823025465
12029,10.908647693
12031,6.5839480602
12033,3.0348720328
12035,30.909829024
12037,12.749681258
12039,-2.713085755
12041,12.171428571
12043,24.070930013
12045,12.003375949
12047,0.4199475066
12049,-5.588646224
12051,-2.068487103
12053,29.071009743
12055,19.072302624
12057,10.809318863
12059,9.20586486
12061,27.468828807
12063,-4.622941346
12065,-8.548530721
12067,-2.289508328
12069,28.891006519
12071,27.035217076
12073,-4.173593551
12075,9.2902641053
12077,-14.36351667
12079,-8.968853617
12081,31.895013152
12083,17.739407323
12085,20.306864956
12086,-12.57648468
12087,-2.384054195
12089,25.53067605
12091,4.2230260495
12093,18.456271783
12095,7.4474266154
12097,18.744759761
12099,9.9389735339
12101,29.306391516
12103,13.536913181
12105,20.306677237
12107,7.5946560231
12109,34.454346365
12111,23.783773024
12113,18.005474235
12115,23.222852559
12117,8.7828430446
12119,51.897860594
12121,5.4393162002
12123,-12.01241733
12125,3.9996065961
12127,23.176802531
12129,8.6743947638
12131,32.937184307
12133,-0.612169938
13000,3.7526726245
13001,-1.790996174
13003,-18.2103232
13005,2.7548209366
13007,-1.881762584
13009,-7.598449476
13011,-5.50318749
13013,19.121062778
13015,8.0046352876
13017,-6.356911697
13019,-2.42188117
13021,-9.801463381
13023,11.885213856
13025,-3.310539455
13027,2.4844720497
13029,21.123869123
13031,13.535646124
13033,-4.1562576
13035,9.2263416286
13037,-25.28503839
13039,-10.79812654
13043,-0.828652979
13045,8.449800033
13047,6.361564036
13049,-42.2529811
13051,0.3585264909
13053,-124.7095642
13055,-3.015620916
13057,19.290582742
13059,0.1770866034
13061,-20.71686945
13063,10.042514034
13065,-15.77240566
13067,0.2608876905
13069,-5.821060597
13071,-4.928763958
13073,15.308697937
13075,4.1481654592
13077,10.443508157
13079,-8.122816993
13081,-5.843362986
13083,5.8049774594
13085,9.907094415
13087,-16.26712329
13089,-1.606766241
13091,-13.42985046
13093,-10.75770072
13095,-16.42642742
13097,3.9739281925
13099,-15.6009245
13101,-26.5464563
13103,20.211617361
13105,-6.55601228
13107,-3.966397041
13109,-6.74852376
13111,29.187047742
13113,7.0654457239
13115,0.9746790817
13117,32.603635134
13119,0.2243007424
13121,5.3757582003
13123,12.015145141
13125,-10.33677893
13127,7.5383788304
13129,5.7215006578
13131,-14.57224068
13133,12.781460909
13135,3.8439749846
13137,5.8023118231
13139,11.786696327
13141,10.923246761
13143,6.1878606688
13145,13.535365635
13147,4.4417366011
13149,3.803760536
13151,15.211177426
13153,6.7720015285
13155,19.30899821
13157,21.17077499
13159,3.7887067395
13161,-5.937687638
13163,-10.4192978
13165,-11.40534131
13167,-3.820735233
13169,3.0869069543
13171,10.511982571
13173,8.5994492488
13175,-6.837967604
13177,-4.96941241
13179,-23.31740925
13181,16.04930346
13183,26.977518734
13185,-0.412820265
13187,3.9234449761
13189,-3.308635072
13191,3.4890344631
13193,-15.31325922
13195,11.278917503
13197,-11.74674028
13199,-3.26650413
13201,9.5546835011
13205,-2.04881525
13207,7.5354857964
13209,3.6815975902
13211,8.3206212731
13213,-6.347030225
13215,-20.93076843
13217,9.3574223093
13219,24.813827595
13221,-2.445319929
13223,16.35086919
13225,-4.86491505
13227,17.700862012
13229,-1.727839154
13231,-0.949137402
13233,6.4522365337
13235,-6.172023101
13237,9.9014525244
13239,18.280739935
13241,19.028389623
13243,2.9360363509
13245,-3.574615766
13247,2.3457632471
13249,-13.29223656
13251,-4.204974699
