FIPStxt,year,rate_natural_increase_population
13091,2020,-1.207787816
13093,2020,-2.214103841
13095,2020,3.432003432
13097,2020,4.6196034554
13099,2020,-1.367454581
13101,2020,3.4973769673
13103,2020,5.0109070216
13105,2020,-3.13405939
13107,2020,0.9281152631
13109,2020,-0.093650496
13111,2020,-4.830454868
13113,2020,-0.193319918
13115,2020,-0.0712606
13117,2020,4.5506966306
13119,2020,-0.560550202
13121,2020,4.9137492266
13123,2020,-1.736222751
13125,2020,-2.017484869
13127,2020,-0.082223801
13129,2020,1.6956337431
13131,2020,1.416803287
13133,2020,-2.884322046
13135,2020,7.1249692126
13137,2020,1.940441671
13139,2020,4.8573941017
13141,2020,-8.439821694
13143,2020,0.1010900881
13145,2020,-0.716373431
13147,2020,-2.410283878
13149,2020,-0.252164411
13151,2020,3.9759718624
13153,2020,4.3014046575
13155,2020,-1.06315118
13157,2020,4.2427879583
13159,2020,0.4956103087
13161,2020,2.6522560753
13163,2020,-3.053335932
13165,2020,-1.146723238
13167,2020,-0.82691612
13169,2020,-2.647391797
13171,2020,-1.104158999
13173,2020,0.19251131
13175,2020,1.138255939
13177,2020,2.6781380245
13179,2020,16.011012692
13181,2020,-2.398081535
13183,2020,8.1241914618
13185,2020,5.5623301885
13187,2020,-0.631493482
13189,2020,0.4668098217
13191,2020,-2.090592334
13193,2020,-2.757881028
13195,2020,0.3024091932
13197,2020,-0.478125747
13199,2020,-1.372423748
13201,2020,-2.806525171
13205,2020,0.409109505
13207,2020,-3.667326301
13209,2020,1.7448200654
13211,2020,2.256803212
13213,2020,1.4742812879
13215,2020,4.3699254753
13217,2020,4.2230913571
13219,2020,2.7583439906
13221,2020,0.5932957579
13223,2020,4.6946381342
13225,2020,2.0397384764
13227,2020,-1.609782525
13229,2020,1.9046148303
13231,2020,0.8508601664
13233,2020,2.1422097718
13235,2020,-1.980465409
13237,2020,-2.913129566
13239,2020,-3.509541566
13241,2020,-4.000706007
13243,2020,-1.177336277
13245,2020,4.2208394671
13247,2020,2.4365907575
13249,2020,1.5256984838
13251,2020,1.4323569434
13253,2020,-2.689486553
13255,2020,-0.045177321
13257,2020,-1.501964107
13259,2020,-4.289215686
13261,2020,1.2811867835
13263,2020,-4.485382459
13265,2020,-8.891711654
13267,2020,0.3545330996
13269,2020,0.3740648379
13271,2020,-1.193692279
13273,2020,-1.986213343
13275,2020,0.3378949147
13277,2020,3.3256965487
13279,2020,2.3821931065
13281,2020,-7.279420993
13283,2020,-0.437509115
13285,2020,1.7571428571
13287,2020,2.3909897439
13289,2020,-8.46937523
13291,2020,-5.700594845
13293,2020,-3.58061137
13295,2020,-1.293066291
13297,2020,2.5240288613
13299,2020,0.5888868636
13301,2020,-1.333206361
13303,2020,-0.39231071
13305,2020,0.0669601754
13307,2020,0.383656244
13309,2020,0.1269599441
13311,2020,-0.921264765
13313,2020,4.4811061055
13315,2020,-1.145344176
13317,2020,-5.295046077
13319,2020,-2.555981552
13321,2020,-0.838491701
15000,2020,2.9120754178
15001,2020,1.1612269305
15003,2020,3.4977110868
15005,2020,0.0
15007,2020,1.2460110341
15009,2020,2.3206504999
16000,2020,5.0384427187
16001,2020,4.0511347913
16003,2020,0.9380863039
16005,2020,5.2842126982
16007,2020,2.300928589
16009,2020,-0.32404407
16011,2020,4.6481601033
16013,2020,3.7561146052
16015,2020,0.1291489087
16017,2020,-0.265357569
16019,2020,8.6027532207
16021,2020,0.1648736656
16023,2020,1.5432098765
16025,2020,3.5922766053
16027,2020,6.8508116579
16029,2020,5.3551296505
16031,2020,8.6154618264
16033,2020,7.0754716981
16035,2020,-2.740664611
16037,2020,-1.167542323
16039,2020,9.5128751845
16041,2020,7.0340826686
16043,2020,6.9322769864
16045,2020,-0.168071935
16047,2020,4.8852946031
16049,2020,-1.810337024
16051,2020,11.23557595
16053,2020,8.8700028879
16055,2020,1.9088055894
16057,2020,5.1790785243
16059,2020,-3.00770725
16061,2020,-0.782268579
16063,2020,4.6451133408
16065,2020,24.429062247
16067,2020,6.1784568226
16069,2020,0.1239710404
16071,2020,2.8911375514
16073,2020,4.0013621658
16075,2020,3.8771123941
16077,2020,7.0216500878
16079,2020,0.0779058897
16081,2020,7.7333669567
16083,2020,4.8234021757
16085,2020,2.6770178022
16087,2020,2.1665271554
17000,2020,2.7009368656
17001,2020,-1.12927101
17003,2020,-3.050330452
17005,2020,-0.665396365
17007,2020,2.7470473912
17009,2020,0.0
17011,2020,-2.104075503
17013,2020,-3.553511706
17015,2020,-4.262902268
17017,2020,3.0254711967
17019,2020,4.0180454568
17021,2020,-2.216851148
17023,2020,-1.997358333
17025,2020,-2.192816635
17027,2020,1.2224451561
17029,2020,-0.946278955
17031,2020,3.7569535853
17033,2020,-1.120089607
17035,2020,0.9272137228
17037,2020,3.612972291
17039,2020,-2.736065157
17041,2020,3.6482285538
17043,2020,3.8515421302
17045,2020,-3.302337707
17047,2020,2.3470505398
17049,2020,2.7570429248
17051,2020,0.4683402023
17053,2020,-3.132999656
17055,2020,-1.27002229
17057,2020,-4.105826225
17059,2020,-7.900334245
17061,2020,-1.690097565
17063,2020,3.3520538681
17065,2020,-2.951303492
17067,2020,-1.12561909
17069,2020,-8.815141302
17071,2020,-4.796522521
17073,2020,-1.306362393
17075,2020,-2.454302355
17077,2020,2.0694674629
17079,2020,2.1836331496
17081,2020,0.1856960951
17083,2020,-1.055820786
17085,2020,-3.523939294
17087,2020,-3.46215781
17089,2020,5.2294429845
17091,2020,0.6641948912
17093,2020,6.9573482609
17095,2020,-1.223953369
17097,2020,3.5541306562
17099,2020,-1.17523918
17101,2020,-3.366041091
17103,2020,-1.111241081
17105,2020,0.2802612034
17107,2020,-1.668694594
17109,2020,-1.273757249
17111,2020,2.8959863642
17113,2020,3.6693833284
17115,2020,0.3357104833
17117,2020,-2.526483755
17119,2020,-0.531317363
17121,2020,-0.268146837
17123,2020,-2.966711749
17125,2020,-3.569834895
17127,2020,-2.878215506
17129,2020,-0.408413314
17131,2020,-3.485220085
17133,2020,1.1592522823
17135,2020,-2.241484984
17137,2020,-1.0637512
17139,2020,0.9605818381
17141,2020,0.5915759584
17143,2020,3.4408100078
17145,2020,-1.902044698
17147,2020,0.8560073372
17149,2020,1.1554756708
17151,2020,-3.348881713
17153,2020,-3.528647042
17155,2020,-1.394335512
17157,2020,-1.84493191
17159,2020,-1.602153294
17161,2020,0.8295254833
17163,2020,1.4278969611
17165,2020,-2.749576988
17167,2020,0.5124118972
17169,2020,-5.719313682
17171,2020,-0.809880543
17173,2020,-0.830258303
17175,2020,-3.531598513
17177,2020,-1.590234616
17179,2020,-0.522226805
17181,2020,-3.046140063
17183,2020,-0.354191263
17185,2020,1.4755023217
17187,2020,1.5368246838
17189,2020,0.788926343
17191,2020,-1.475062229
17193,2020,-4.934634506
17195,2020,-0.704428871
17197,2020,3.616780472
17199,2020,-0.793537906
17201,2020,1.8262033691
17203,2020,0.7014262333
18000,2020,2.7608567235
18001,2020,11.629210335
