county_fips,rate_international_migration
13233,-0.117703834
13235,-0.18004231
13237,0.1365529484
13239,0.0
13241,0.0
13243,-0.147167035
13245,0.4057547905
13247,0.4189613067
13249,2.2885477258
13251,0.2148535415
13253,-0.122249389
13255,0.045177321
13257,0.0
13259,26.041666667
13261,0.9103169252
13263,0.0
13265,0.635122261
13267,1.2605621319
13269,0.0
13271,3.1412954703
13273,0.0
13275,0.4054738976
13277,-0.098539157
13279,-0.632770044
13281,0.3346860227
13283,0.8750182295
13285,1.3428571429
13287,0.0
13289,1.7184239597
13291,-0.24785195
13293,-0.152366441
13295,0.2586132582
13297,-0.095849197
13299,-0.16825339
13301,0.1904580516
13303,0.0490388388
13305,0.2678407017
13307,0.0
13309,0.0
13311,0.0658046261
13313,0.3925755349
13315,0.1145344176
13317,0.610966855
13319,0.0
13321,0.0
15000,3.5353864758
15001,2.1189910228
15003,3.8231271563
15005,0.0
15007,3.7241885353
15009,3.4809757498
16000,0.0944142655
16001,0.0547166258
16003,0.234521576
16005,0.7565250284
16007,0.3287040841
16009,0.10801469
16011,0.1721540779
16013,5.1974143955
16015,0.1291489087
16017,-0.2874707
16019,-0.280247637
16021,0.1648736656
16023,0.0
16025,0.0
16027,-0.423761546
16029,0.9864712514
16031,0.1254678907
16033,2.358490566
16035,0.0
16037,0.0
16039,1.4579119057
16041,-1.015228426
16043,0.3808943399
16045,-0.056023978
16047,0.0
16049,0.0603445675
16051,-0.033740468
16053,3.8367919469
16055,-0.721920063
16057,1.3010245568
16059,-0.501284542
16061,0.7822685789
16063,4.2735042735
16065,-0.303152789
16067,0.1436850424
16069,-0.495884161
16071,-0.667185589
16073,-0.425676826
16075,-1.432845885
16077,-0.130030557
16079,0.4674353381
16081,1.2608750473
16083,0.75184926
16085,-1.249274974
16087,-0.787828057
17000,1.5128239175
17001,0.2746875429
17003,0.0
17005,0.2419623144
17007,0.0373747944
17009,0.7609770946
17011,0.5488892616
17013,0.2090301003
17015,0.1397672875
17017,3.5978576393
17019,7.6643144657
17021,-0.030789599
17023,-0.193292742
17025,0.0756143667
17027,-0.053149789
17029,1.0054213898
17031,2.254753423
17033,-0.106675201
17035,0.0
17037,1.8925092953
17039,0.0
17041,-0.154150502
17043,2.2160149781
17045,0.2896787463
17047,0.0
17049,0.1759814633
17051,-0.09366804
17053,0.1528292515
17055,-0.051837644
17057,0.144571346
17059,0.0
17061,0.0768226166
17063,0.1568212336
17065,0.0
17067,0.112561909
17069,0.0
17071,0.1498913288
17073,-0.020411912
17075,-0.073262757
17077,3.2269662133
17079,1.2477903712
17081,0.3713921902
17083,0.9181050312
17085,-0.422872715
17087,0.0
17089,-0.15209511
17091,0.2638582444
17093,0.8336352339
17095,1.5449903187
17097,1.1703848231
17099,0.2662651266
17101,0.2540408371
17103,0.2047023044
17105,0.896835851
17107,0.4519381192
17109,2.581034425
17111,0.0227263504
17113,3.2972113268
17115,0.3261187552
17117,0.0664864146
17119,0.003795124
17121,0.2681468372
17123,0.0872562279
17125,0.0
17127,-0.215866163
17129,-0.326730651
17131,0.0
17133,0.0
17135,0.0
17137,1.3001403561
17139,0.2058389653
17141,0.0985959931
17143,1.4341340582
17145,0.1902044698
17147,-0.061143381
17149,-0.064193093
17151,0.0
17153,0.3714365308
17155,0.0
17157,0.2501602589
17159,0.0640861318
17161,2.0949033392
17163,0.2341443942
17165,-0.084602369
17167,1.0401961513
17169,0.8798944127
17171,1.2148208139
17173,0.0
17175,0.3717472119
17177,0.5375440954
17179,0.5070897965
17181,0.0
17183,0.2492457038
17185,2.9510046435
17187,2.1870197423
17189,0.0
17191,0.1843827786
17193,0.1473025226
17195,-0.126435951
17197,0.247486779
17199,0.4192275732
17201,1.1621294167
17203,0.1558724963
18000,2.1416896217
18001,0.2241775486
18003,1.9804395144
18005,7.5555101771
18007,0.1149359232
18009,0.8445232666
18011,1.0684632679
18013,-0.19787613
18015,0.7911979231
18017,2.9635901778
18019,0.5433352293
18021,0.0381679389
18023,0.619281324
18025,0.0
18027,0.6303561512
18029,-0.303214069
18031,0.6380902335
18033,-0.207653173
18035,1.5759613364
18037,2.365062639
18039,1.0146665437
18041,0.6496600113
18043,0.7930619867
18045,0.1832844575
18047,0.2639450994
18049,-0.049966273
18051,1.9028081286
18053,0.3945132314
18055,0.1250371204
18057,2.3701150044
18059,0.2327897262
18061,0.4954848939
18063,1.61912585
18065,0.0832440194
18067,0.4490264015
18069,0.5497299452
18071,2.582135698
18073,0.0896499171
18075,-0.340111265
18077,0.3102458699
18079,-0.036091962
18081,1.9219754344
18083,0.546522749
18085,1.0700438089
18087,0.0
18089,0.5361195052
18091,0.0636742788
18093,0.1098901099
18095,0.4939376867
18097,4.9488322565
18099,1.2101043715
18101,-0.097684869
18103,0.7307270734
18105,8.2391658014
18107,1.1486451209
18109,0.6399954489
18111,1.7876296031
18113,0.3148383305
18115,0.0
18117,0.7654232791
18119,0.2400326444
18121,0.294854784
18123,-0.05229305
18125,0.8879202486
18127,0.6061016191
18129,0.1569212059
