FIPStxt,year,rate_international_migration
18077,2012,0.3090807937
18079,2012,0.0
18081,2012,1.4305298921
18083,2012,0.2877810771
18085,2012,0.5808100364
18087,2012,0.6388840825
18089,2012,0.3662692342
18091,2012,0.1347581765
18093,2012,0.5636428672
18095,2012,0.6661587525
18097,2012,3.342430351
18099,2012,0.5965061781
18101,2012,0.3873529269
18103,2012,-0.027330618
18105,2012,7.1774156334
18107,2012,-0.052277331
18109,2012,0.2889964598
18111,2012,0.5688079918
18113,2012,-0.211676051
18115,2012,-0.495581069
18117,2012,0.1511639625
18119,2012,0.1400004667
18121,2012,0.0
18123,2012,-0.25777182
18125,2012,0.2379630364
18127,2012,0.772916522
18129,2012,0.1559119877
18131,2012,0.0762253221
18133,2012,1.1919424689
18135,2012,-0.192715359
18137,2012,0.9108106215
18139,2012,-0.174454104
18141,2012,1.7030151621
18143,2012,0.1259710267
18145,2012,0.1807154071
18147,2012,-0.047901897
18149,2012,-0.086335283
18151,2012,0.2931433764
18153,2012,0.094292921
18155,2012,0.0
18157,2012,9.5947716101
18159,2012,-0.063542494
18161,2012,-0.134698276
18163,2012,1.1009438242
18165,2012,0.0625097672
18167,2012,1.8076761677
18169,2012,0.6466214032
18171,2012,0.2372197841
18173,2012,1.1613631085
18175,2012,0.0356449055
18177,2012,0.0
18179,2012,0.6492920913
18181,2012,0.0815361409
18183,2012,0.2698933921
19000,2012,1.312163758
19001,2012,0.1332090049
19003,2012,0.0
19005,2012,1.1279123048
19007,2012,0.0782625709
19009,2012,0.1685061926
19011,2012,0.1541188256
19013,2012,1.3588297364
19015,2012,-0.076300931
19017,2012,0.3682713751
19019,2012,0.1431810047
19021,2012,2.397729497
19023,2012,0.5344556903
19025,2012,0.0
19027,2012,0.0481765188
19029,2012,0.0728199527
19031,2012,0.2182572161
19033,2012,0.5703205201
19035,2012,-0.083420229
19037,2012,0.0
19039,2012,-0.21438525
19041,2012,-0.181071946
19043,2012,0.1668381392
19045,2012,0.3067390571
19047,2012,0.8691621277
19049,2012,2.9310016839
19051,2012,0.0
19053,2012,1.0917030568
19055,2012,0.056819796
