county_fips,year,unemployment
12023,2008,5.2
12027,2008,6.3
12029,2008,6.9
12031,2008,5.8
12033,2008,5.6
12035,2008,9.0
12037,2008,4.4
12039,2008,5.7
12041,2008,5.3
12043,2008,6.4
12045,2008,5.8
12047,2008,6.6
12049,2008,6.2
12051,2008,10.1
12053,2008,8.0
12055,2008,6.7
12057,2008,5.9
12059,2008,4.7
12061,2008,7.5
12063,2008,4.8
12065,2008,4.7
12067,2008,4.2
12069,2008,6.0
12071,2008,7.6
12073,2008,4.2
12075,2008,6.6
12077,2008,3.9
12079,2008,6.5
12081,2008,6.5
12083,2008,7.3
12085,2008,6.5
12086,2008,4.4
12087,2008,3.8
12089,2008,5.0
12091,2008,4.3
12093,2008,7.6
12095,2008,5.5
12097,2008,5.9
12099,2008,6.1
12101,2008,6.9
12103,2008,6.0
12105,2008,6.3
12107,2008,6.9
12109,2008,4.7
12111,2008,8.1
12113,2008,5.2
12115,2008,6.7
12117,2008,5.2
12119,2008,5.2
12121,2008,5.5
12123,2008,6.1
12125,2008,4.5
12127,2008,6.1
12129,2008,4.2
12131,2008,4.2
12133,2008,5.9
13000,2008,6.8
13001,2008,7.6
13003,2008,9.0
13005,2008,6.8
13007,2008,6.9
13009,2008,8.5
13011,2008,4.9
13013,2008,6.8
13015,2008,7.7
13017,2008,11.7
13019,2008,7.5
13021,2008,7.0
13023,2008,7.9
13025,2008,6.9
13027,2008,6.2
13029,2008,5.3
13031,2008,6.6
13033,2008,9.4
13035,2008,8.1
13037,2008,8.7
13039,2008,6.1
13043,2008,6.8
13045,2008,7.3
13047,2008,5.5
13049,2008,7.3
13051,2008,6.1
13053,2008,13.1
13055,2008,10.6
13057,2008,5.7
13059,2008,5.5
13061,2008,7.9
13063,2008,8.2
13065,2008,7.8
13067,2008,6.1
13069,2008,8.9
13071,2008,6.5
13073,2008,5.2
13075,2008,8.4
13077,2008,6.2
13079,2008,6.5
13081,2008,8.3
13083,2008,6.1
13085,2008,6.4
13087,2008,8.3
13089,2008,6.9
13091,2008,7.3
13093,2008,7.3
13095,2008,7.5
13097,2008,7.0
13099,2008,7.2
13101,2008,4.7
13103,2008,5.2
13105,2008,9.0
13107,2008,8.0
13109,2008,6.8
13111,2008,6.8
13113,2008,5.7
13115,2008,7.0
13117,2008,5.2
13119,2008,7.6
13121,2008,7.0
13123,2008,6.3
13125,2008,7.4
13127,2008,5.5
13129,2008,8.0
13131,2008,6.5
13133,2008,7.3
13135,2008,6.1
13137,2008,6.2
13139,2008,5.9
13141,2008,14.0
13143,2008,7.1
13145,2008,5.1
13147,2008,9.5
13149,2008,8.2
13151,2008,6.6
13153,2008,5.6
13155,2008,10.7
13157,2008,6.7
13159,2008,8.9
13161,2008,10.5
13163,2008,10.6
13165,2008,16.9
13167,2008,8.6
13169,2008,6.2
13171,2008,8.0
13173,2008,6.3
13175,2008,7.7
13177,2008,4.9
13179,2008,6.5
13181,2008,7.7
13183,2008,4.8
13185,2008,5.9
13187,2008,7.6
13189,2008,8.5
13191,2008,6.4
13193,2008,9.1
13195,2008,5.6
13197,2008,6.7
13199,2008,9.1
13201,2008,5.4
13205,2008,7.4
13207,2008,6.1
13209,2008,7.9
13211,2008,6.5
13213,2008,8.0
13215,2008,6.7
13217,2008,8.1
13219,2008,4.4
13221,2008,5.6
13223,2008,6.4
13225,2008,7.6
13227,2008,6.4
13229,2008,5.8
13231,2008,7.1
13233,2008,6.8
13235,2008,5.8
13237,2008,7.6
13239,2008,9.3
13241,2008,6.9
13243,2008,9.1
13245,2008,7.7
13247,2008,7.5
13249,2008,7.2
