FIPStxt,year,rate_domestic_migration
8121,2012,-11.41287118
8123,2012,10.494150582
8125,2012,-8.302856578
9000,2012,-4.834027814
9001,2012,-2.330525646
9003,2012,-6.010353455
9005,2012,-6.915563204
9007,2012,-5.328382679
9009,2012,-5.161889036
9011,2012,-2.072641137
9013,2012,-10.98299439
9015,2012,-7.687455816
10000,2012,3.5137389167
10001,2012,6.2573892848
10003,2012,-0.209798511
10005,2012,11.284197166
11000,2012,10.697173243
11001,2012,10.697173243
12000,2012,5.4103329976
12001,2012,-2.214004476
12003,2012,-4.54696684
12005,2012,6.2054659666
12007,2012,-55.11697487
12009,2012,4.88030605
12011,2012,4.4768000293
12013,2012,-4.696753114
12015,2012,23.117481317
12017,2012,4.4668463921
12019,2012,2.9572085195
12021,2012,8.2744573865
12023,2012,7.1597103572
12027,2012,-1.57480315
12029,2012,-12.46967044
12031,2012,-0.404002823
12033,2012,5.9586214218
12035,2012,10.607669376
12037,2012,12.129613585
12039,2012,-21.52277348
12041,2012,-6.314360745
12043,2012,-13.48702266
12045,2012,2.2832498256
12047,2012,6.8904352572
12049,2012,-20.28191499
12051,2012,-43.04937404
12053,2012,4.7458509976
12055,2012,1.0981245456
12057,2012,7.900149183
12059,2012,-4.654103959
12061,2012,11.631899734
12063,2012,-0.77309625
12065,2012,-20.10574649
12067,2012,-1.364489169
12069,2012,9.6552637241
12071,2012,16.183493433
12073,2012,11.242172917
12075,2012,-5.876909996
12077,2012,3.6220947781
12079,2012,-9.39583224
12081,2012,16.026779842
12083,2012,6.6110343026
12085,2012,10.368803309
12086,2012,-6.26468805
12087,2012,2.2218182553
12089,2012,3.3228625048
12091,2012,24.003389976
12093,2012,-9.248671132
12095,2012,11.358249227
12097,2012,15.756495017
12099,2012,7.6033846318
12101,2012,6.9095108327
12103,2012,4.4215060402
12105,2012,2.9394459446
12107,2012,-9.332851227
12109,2012,26.712074179
12111,2012,6.1276619916
12113,2012,10.040518845
12115,2012,14.648812288
12117,2012,4.1149717986
12119,2012,44.419065937
12121,2012,4.4647994292
12123,2012,2.4658740643
12125,2012,-4.057989986
12127,2012,5.6145364425
12129,2012,-5.951610816
12131,2012,24.168380736
12133,2012,9.8272116302
13000,2012,1.5248788042
13001,2012,-9.499511454
13003,2012,-18.17634667
13005,2012,-4.933841669
13007,2012,11.372138261
13009,2012,25.871189398
13011,2012,-7.201759208
13013,2012,-4.272069382
13015,2012,-3.573638923
13017,2012,-2.386906115
13019,2012,-15.1538741
13021,2012,-3.51643293
13023,2012,-16.09425535
13025,2012,-1.18620764
13027,2012,-28.48191398
13029,2012,17.727258415
13031,2012,0.0137231626
13033,2012,-24.2728874
13035,2012,-10.24507407
13037,2012,-8.491281274
13039,2012,6.3548901175
13043,2012,-11.83272825
13045,2012,-0.306113262
13047,2012,-2.26822099
13049,2012,-9.476551132
13051,2012,6.4222042509
13053,2012,19.811240541
13055,2012,-1.091362644
13057,2012,5.8169375535
13059,2012,4.4347387872
13061,2012,-18.82578175
13063,2012,-0.216185464
13065,2012,-11.03818616
13067,2012,2.9868216297
13069,2012,-3.274500697
13071,2012,-0.936972272
13073,2012,18.611414031
13075,2012,-11.19721838
13077,2012,3.1003935115
13079,2012,-3.17914481
13081,2012,-10.26572599
13083,2012,-7.729935383
13085,2012,6.1088444474
13087,2012,-9.075563139
